[hh:mm:ss],dB
11:14:39,69
11:14:40,72
11:14:41,68
11:14:42,70
11:14:43,70
11:14:44,71
11:14:45,77
11:14:46,78
11:14:47,70
11:14:48,71
11:14:49,75
11:14:50,75
11:14:51,70
11:14:52,70
11:14:53,69
11:14:54,71
11:14:55,70
11:14:56,72
11:14:57,74
11:14:58,70
11:14:59,77
11:15:00,77
11:15:01,70
11:15:02,70
11:15:03,69
11:15:04,69
11:15:05,76
11:15:06,76
11:15:07,69
11:15:08,69
11:15:09,74
11:15:10,74
11:15:11,67
11:15:12,70
11:15:13,67
11:15:14,66
11:15:15,62
11:15:16,61
11:15:17,58
11:15:18,57
11:15:19,53
11:15:20,50
11:15:21,48
11:15:22,47
11:15:23,48
11:15:24,50
11:15:25,51
11:15:26,53
11:15:27,51
11:15:28,51
11:15:29,49
11:15:30,48
11:15:31,53
11:15:32,56
11:15:33,59
11:15:34,63
11:15:35,69
11:15:36,66
11:15:37,64
11:15:38,70
11:15:39,70
11:15:40,77
11:15:41,77
11:15:42,70
11:15:43,71
11:15:44,69
11:15:45,73
11:15:46,73
11:15:47,71
11:15:48,70
11:15:49,77
11:15:50,77
11:15:51,68
11:15:52,69
11:15:53,69
11:15:54,72
11:15:55,67
11:15:56,70
11:15:57,70
11:15:58,68
11:15:59,68
11:16:00,67
11:16:01,67
11:16:02,71
11:16:03,68
11:16:04,72
11:16:05,72
11:16:06,71
11:16:07,75
11:16:08,69
11:16:09,71
11:16:10,71
11:16:11,71
11:16:12,70
11:16:13,65
11:16:14,69
11:16:15,70
11:16:16,69
11:16:17,66
11:16:18,72
11:16:19,77
11:16:20,75
11:16:21,78
11:16:22,72
11:16:23,71
11:16:24,70
11:16:25,73
11:16:26,70
11:16:27,72
11:16:28,73
11:16:29,73
11:16:30,70
11:16:31,70
11:16:32,73
11:16:33,73
11:16:34,72
11:16:35,72
11:16:36,72
11:16:37,72
