[hh:mm:ss],dB
11:28:16,76
11:28:17,76
11:28:18,73
11:28:19,76
11:28:20,79
11:28:21,79
11:28:22,76
11:28:23,72
11:28:24,72
11:28:25,71
11:28:26,71
11:28:27,74
11:28:28,73
11:28:29,73
11:28:30,73
11:28:31,73
11:28:32,73
11:28:33,75
11:28:34,78
11:28:35,78
11:28:36,77
11:28:37,77
11:28:38,77
11:28:39,77
11:28:40,76
11:28:41,76
11:28:42,74
11:28:43,74
11:28:44,73
11:28:45,74
11:28:46,73
11:28:47,73
11:28:48,73
11:28:49,74
11:28:50,75
11:28:51,74
11:28:52,72
11:28:53,72
11:28:54,71
11:28:55,72
11:28:56,73
11:28:57,71
11:28:58,72
11:28:59,72
11:29:00,71
11:29:01,72
11:29:02,71
11:29:03,74
11:29:04,80
11:29:05,79
11:29:06,76
11:29:07,76
11:29:08,77
11:29:09,77
11:29:10,75
11:29:11,72
11:29:12,75
11:29:13,76
11:29:14,76
11:29:15,77
11:29:16,72
11:29:17,75
11:29:18,74
11:29:19,76
11:29:20,75
11:29:21,75
11:29:22,75
11:29:23,75
11:29:24,74
11:29:25,75
11:29:26,74
11:29:27,74
11:29:28,74
11:29:29,74
11:29:30,74
11:29:31,74
11:29:32,74
11:29:33,74
11:29:34,75
11:29:35,75
11:29:36,75
11:29:37,75
11:29:38,74
11:29:39,76
11:29:40,77
11:29:41,77
11:29:42,75
11:29:43,75
11:29:44,72
11:29:45,71
11:29:46,70
11:29:47,73
11:29:48,71
11:29:49,72
11:29:50,77
11:29:51,77
11:29:52,75
11:29:53,76
11:29:54,76
11:29:55,77
11:29:56,75
11:29:57,75
11:29:58,75
11:29:59,77
11:30:00,76
11:30:01,75
11:30:02,75
11:30:03,73
11:30:04,73
11:30:05,75
11:30:06,73
11:30:07,72
11:30:08,76
11:30:09,76
11:30:10,75
11:30:11,76
11:30:12,80
11:30:13,75
11:30:14,72
11:30:15,72
11:30:16,72
11:30:17,72
